id,archivo_origen,offset_inicio,offset_fin,longitud_original_bytes,texto_original,texto_traducido,notas,estado
e2_00000,e2.bin,2,138,136, <0028> <0028> <0048> <0048> <0068> <0068> <0088> <0088> <00A8> <00A8> ) ) I I ?`?`<0028>`<0028>`<0040>`<0040>`<0060>`<0060>`<0078>`<0078>`<0090>`<0090>`<00B0>`<00B0>`)`)`I`I` <0200> ,,sin palabras reconocibles (probable gráfico/opcode),revisar
e2_00001,e2.bin,188,210,22,!<0200>!<0200>9<0200>9<0200>Q<0200>Q,,carácter repetido dominante (probable relleno gráfico),revisar
e2_00002,e2.bin,268,290,22,!<0300>!<0300>A<0300>A<0300>Y<0300>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e2_00003,e2.bin,340,362,22,)<0400>)<0400>I<0400>I<0400> <0500> ,,carácter repetido dominante (probable relleno gráfico),revisar
e2_00004,e2.bin,420,434,14,1<0600>1<0600>I<0600>I,,carácter repetido dominante (probable relleno gráfico),revisar
e2_00005,e2.bin,516,538,22,)<0800>)<0800>I<0800>I<0800> <0900> ,,carácter repetido dominante (probable relleno gráfico),revisar
e2_00006,e2.bin,596,618,22,)<0900>)<0900>A<0900>A<0900>Y<0900>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e2_00007,e2.bin,668,690,22,!<0A00>!<0A00>9<0A00>9<0A00>Q<0A00>Q,,carácter repetido dominante (probable relleno gráfico),revisar
e2_00008,e2.bin,756,778,22,)<0B00>)<0B00>A<0B00>A<0B00>Y<0B00>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e2_00009,e2.bin,836,850,14,9<0C00>9<0C00>Y<0C00>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e2_00010,e2.bin,876,890,14,1<0E00>1<0E00>Q<0E00>Q,,sin palabras reconocibles (probable gráfico/opcode),revisar
e2_00011,e2.bin,948,970,22,)<0F00>)<0F00>A<0F00>A<0F00>Y<0F00>Y,,sin palabras reconocibles (probable gráfico/opcode),revisar
e2_00012,e2.bin,1036,1050,14,1<1000>1<1000>Q<1000>Q,,carácter repetido dominante (probable relleno gráfico),revisar
e2_00013,e2.bin,1116,1138,22,1<1100>1<1100>I<1100>I<1100> <1200> ,,carácter repetido dominante (probable relleno gráfico),revisar
