id,limite_chars,tokens_protegidos,texto_original,texto_traducido,estado,notas
e3_00017,132,<FF03> <FF02> <FF04> <FF1B> <FF03> <FF03>, The student must<FF03>have had a reason for starting the fight!<FF02><FF04><FF1B>Principal Ooishi<FF03>Teachers must hear all sides before<FF03>making a decision,,por_traducir,
e3_00018,60,<FF02> <FF01> <FF1B> <FF03> <FF03>,"<FF02><FF01><FF1B>Principal Ooishi<FF03>I had the most awful dream!<FF03>Ugh, my head",,por_traducir,
e3_00019,365,<FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03>,"<FF02><FF01> <FF1B>Principal Ooishi<FF03>Punishing students isn't the only way<FF03>to educate them!<FF02><FF01>  <FF1B>Vice-Principal Hanya<FF03>How dare he give me lip that way.<FF02><FF04><FF1B>Vice-Principal Hanya<FF03>I'm not listening to his excuses.<FF03>They're only lies, anyway!<FF02><FF04><FF1B>Vice-Principal Hanya<FF03>As punishment, he must clean windows,<FF03>write lines, and polish my shoes.<FF02><FF01><FF1B>Vice-Principal Hanya<FF03>Oh, if only it had been real",,por_traducir,
e3_00020,518,<FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF05> <1E00> <FF05> <1E00> <FF05> <1E00> <FF05>,"<FF02><FF04><FF1B>Vice-Principal Hanya<FF03>Hm? No, it's nothing! Don't interfere<FF03>with his punishment!<FF02><FF01>   <FF1B>Vice-Principal Hanya<FF03>Hey. Don't interfere with his punishment.<FF03>Unless you want to join him?<FF02><FF01>  <FF1B>Kiichi<FF03>To hell with this. Why am I the only<FF03>one getting lectured here?<FF02><FF04><FF1B>Kiichi<FF03>It's just as much the student council<FF03>president's fault.<FF02><FF04><FF1B>Kiichi<FF03>Is yelling at students without listening<FF03>to them a teacher's job or what.?<FF02><FF01> <FF1B>Kiichi<FF03>Don't talk to me, dammit. Why am I the<FF03>only one who has to write lines.?<FF02><FF04><FF1B>Kiichi<FF03>I <FF05><1E00>will <FF05><1E00>not <FF05><1E00>do <FF05>",,por_traducir,
e3_00021,96,<FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF05> <1E00> <FF05> <1E00> <FF05> <1E00> <FF05>,"<FF02><FF01>   <FF1B>Kiichi<FF03>Don't talk to me, dammit. I'm a little<FF03>busy here.<FF02><FF04><FF1B>Kiichi<FF03>I <FF05><1E00>promise <FF05><1E00>not <FF05><1E00>to <FF05>",,por_traducir,
e3_00022,213,<FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03>,"<FF02><FF01>   <FF1B>Yukino<FF03>I can't stand it! That bald bastard's<FF03>throwing his weight around again!<FF02><FF01>   <FF1B>Yukino<FF03>That Kiichi's still writing lines?<FF02><FF01><FF1B>Ayase<FF03>Kiichi didn't do anything wrong, either!<FF03>I saw it before the school froze",,por_traducir,
e3_00023,87,<FF02> <FF04> <FF1B> <FF03> <FF03>,<FF02><FF04><FF1B>Ayase<FF03>He couldn't take any more of that student<FF03>council president sitting on his ass,,por_traducir,
e3_00024,831,<FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <1300> <F015> <5017> <D017> <6818> <401A> <581B> <181C> <D81D> <C81E> <901F> <3820> <9020> <6822> <F022> <A023> <0024> <B824> <1025> <A025> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <1100> <FFFF> <FFFF> <FFFF> <FFFF> <2600> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <0300> <FFFF> <D423> <D810> <F810> <E010> <F810> <E810> <F810> <F010> <F810> <D80C> <0202> <100B> <FFFF> <FFFF>,"<FF02><FF04><FF1B>Ayase<FF03>So he just gave him, like, a little<FF03>warning, is all!<FF02><FF01><FF1B>Ayase<FF03>Hey, doesn't that bald head make you<FF03>wanna, like, punch it?<FF02><FF01><FF1B>Nanjo<FF03>Both parties in a quarrel are culpable!<FF03>They should both have to write lines!<FF02><FF01>  <FF1B>Nanjo<FF03>Nothing will happen if we remain here!<FF02><FF01> <FF1B>Brown<FF03>I hate getting attacked with cold logic,<FF03>but I wish people wouldn't get so angry!<FF02><FF01>  <FF1B>Brown<FF03>Let's hurry and go somewhere else!<FF02><FF01> <FF1B>Elly<FF03>A proper adult acting that way is rather<FF03>unsightly in itself!<FF02><FF01>   <FF1B>Elly<FF03>Where could the Night Queen have gone?<FF02><FF01><1300> <F015> <5017> <D017> <6818> <401A> <581B> <181C> <D81D> <C81E> <901F> <3820> <9020> <6822> <F022> <A023> <0024> <B824> <1025> <A025>                                                                                                                                                                                                                           <FFFF><FFFF><FFFF><FFFF><FFFF><1100><FFFF><FFFF><FFFF><FFFF><2600><FFFF><FFFF>`<FFFF><FFFF><FFFF><FFFF><FFFF>`<FFFF>`<FFFF><FFFF><0300><FFFF><D423> <D810> <F810> <E010> <F810> <E810> <F810> <F010> <F810> <D80C> <0202><100B>` <FFFF><FFFF>",,por_traducir,
e3_00026,526,<FFFF> <FFFF> <FF26> <9400> <5813> <FF60> <FF55> <3015> <FF61> <FF21> <FF60> <FF55> <8816> <FF61> <FF21> <FF26> <9500> <B013> <FF26> <8B00> <9813> <FF60> <FF55> <3818> <FF61> <FF21> <FF60> <FF55> <501A> <FF61> <FF21> <FF60> <FF55> <D01B> <FF61> <FF21> <FF26> <9500> <F013> <FF60> <FF67> <0401> <FF55> <E81D> <FF68> <FF61> <FF21> <FF60> <FF67> <0401> <FF55> <301E> <FF68> <FF61> <FF21> <FF26> <9500> <3814> <FF60> <FF67> <0501> <FF55> <E01E> <FF68> <FF61> <FF21> <FF60> <FF67> <0501> <FF55> <3020> <FF68> <FF61> <FF21> <FF26> <9500> <8014> <FF60> <FF67> <0301> <FF55> <6820> <FF68> <FF61> <FF21> <FF60> <FF67> <0301> <FF55> <0021> <FF68> <FF61> <FF21> <FF26> <9500> <C814> <FF60> <FF67> <0701> <FF55> <A022> <FF68> <FF61> <FF21> <FF60> <FF67> <0701> <FF55> <4823> <FF68> <FF61> <FF21> <FF26> <9500> <1015> <FF60> <FF67> <0601> <FF55> <6021> <FF68> <FF61> <FF21> <FF60> <FF67> <0601> <FF55> <0022> <FF68> <FF61> <FF21> <FF1B> <FF03> <FF07> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03>," <FFFF><FFFF>  <FF26><9400><5813> <FF60> <FF55> <3015> <FF61> <FF21>   <FF60> <FF55> <8816> <FF61> <FF21>   <FF26><9500><B013> <FF26><8B00><9813> <FF60> <FF55> <3818> <FF61> <FF21>   <FF60> <FF55> <501A> <FF61> <FF21>   <FF60> <FF55> <D01B> <FF61> <FF21>   <FF26><9500><F013> <FF60> <FF67><0401><FF55> <E81D> <FF68> <FF61> <FF21>   <FF60> <FF67><0401><FF55> <301E> <FF68> <FF61> <FF21>   <FF26><9500><3814> <FF60> <FF67><0501><FF55> <E01E> <FF68> <FF61> <FF21>   <FF60> <FF67><0501><FF55> <3020> <FF68> <FF61> <FF21>   <FF26><9500><8014> <FF60> <FF67><0301><FF55> <6820> <FF68> <FF61> <FF21>   <FF60> <FF67><0301><FF55> <0021> <FF68> <FF61> <FF21>   <FF26><9500><C814> <FF60> <FF67><0701><FF55> <A022> <FF68> <FF61> <FF21>   <FF60> <FF67><0701><FF55> <4823> <FF68> <FF61> <FF21>   <FF26><9500><1015> <FF60> <FF67><0601><FF55> <6021> <FF68> <FF61> <FF21>   <FF60> <FF67><0601><FF55> <0022> <FF68> <FF61> <FF21>   <FF1B>Gambling-addicted student<FF03><FF07>. The room in front of<FF03>the library turned into a casino.<FF02><FF04><FF1B>Gambling-addicted student<FF03>I'm so frickin' excited. You should check<FF03>it out, too.<FF02><FF01>   <FF1B>Gambling-addicted student<FF03>While you guys were gone, I, uh, blew<FF03>the club's whole budget on poker",,por_traducir,
e3_00027,133,<FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03>,<FF02><FF04><FF1B>Gambling-addicted student<FF03>Whoever's playing next is one lucky skunk!<FF03>The prize bonus must be through the roof.<FF02><FF01> <FF1B>Younger girl<FF03>Heh,,por_traducir,
e3_00028,67,<FF02> <FF04> <FF1B> <FF03>, We're done for!<FF02><FF04><FF1B>Younger girl<FF03>We were always going to die someday,,por_traducir,
e3_00029,49,<FF03> <FF02> <FF04> <FF1B> <FF03>,<FF03>It's just been sped up a bit!<FF02><FF04><FF1B>Younger girl<FF03>Yep,,por_traducir,
e3_00030,143,<FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03>," That's all there is to it!<FF02><FF04><FF1B>Younger girl<FF03>I get to go out while I'm still beautiful,<FF03>so I thank the Snow Queen for that!<FF02><FF01>   <FF1B>Younger girl<FF03>Heh",,por_traducir,
e3_00031,77,<FF02> <FF04> <FF1B> <FF03>, A blue room and a blue piano!<FF02><FF04><FF1B>Younger girl<FF03>Blue curtains and a blue carpet,,por_traducir,
e3_00032,87,<FF03> <FF02> <FF04> <FF1B> <FF03>,<FF03>I wonder what goes on in that room!<FF02><FF04><FF1B>Younger girl<FF03>It's the room just to our left! Heh,,por_traducir,
e3_00033,19,<FF02> <FF01> <FF1B> <FF03>,<FF02><FF01><FF1B>Younger girl<FF03>Heh,,por_traducir,
e3_00034,108,<FF03> <FF02> <FF04> <FF1B> <FF03> <FF03>, There's a light floating in a<FF03>dark room!<FF02><FF04><FF1B>Younger girl<FF03>The light takes me to another world!<FF03>It's wonderful,,por_traducir,
e3_00035,132,<FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03>,"<FF02><FF04><FF1B>Younger girl<FF03>Leave here and turn left at the cross-<FF03>roads, then keep going straight!<FF02><FF04><FF1B>Younger girl<FF03>That's how you get there! Heh",,por_traducir,
e3_00036,413,<FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03>,"<FF02><FF01><FF1B>Yukino<FF03>A casino? Sounds tempting!<FF02><FF01><FF1B>Yukino<FF03>Huh, so if we've been fighting for a<FF03>while, the prize might have increased!<FF02><FF01>   <FF1B>Ayase<FF03>I'm hunnnngryyyy. That reminds me,<FF03>where did the home ec room go?<FF02><FF04><FF1B>Ayase<FF03>I had ingredients left over after I made<FF03>sweets this morning, so I left 'em there!<FF02><FF01>   <FF1B>Ayase<FF03>I'm hunnnngryyyy!<FF02><FF01>  <FF1B>Nanjo<FF03>A casino? You'll go to seed if you get<FF03>involved with such things!<FF02><FF01>  <FF1B>Nanjo<FF03>The fool",,por_traducir,
e3_00037,219,<FF02> <FF01> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03>," He brought it on himself!<FF02><FF01>  <FF1B>Brown<FF03>Hey, that sounds like fun!<FF02><FF04><FF1B>Brown<FF03>We should try this casino ourselves.<FF02><FF01><FF1B>Brown<FF03>I wanna just kick back and have fun at<FF03>a casino or somewhere for once!<FF02><FF01> <FF1B>Elly<FF03>That girl by the window",,por_traducir,
e3_00038,45,<FF03>, She's been<FF03>muttering something for some time,,por_traducir,
e3_00039,33,<FF02> <FF01> <FF1B> <FF03>,<FF02><FF01>  <FF1B>Elly<FF03>That girl by the window,,por_traducir,
e3_00040,33,<FF03>, She's still<FF03>muttering to herself,,por_traducir,
e3_00043,463,<FF02> <FF04> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03>," that was close!<FF02><FF04><FF1B>Student council president<FF03>See, I got in a fight!<FF02><FF04><FF1B>Student council president<FF03>The Vice-Principal almost caught me,<FF03>which would have been bad!<FF02><FF04><FF1B>Student council president<FF03>But I bet he won't find me here!<FF02><FF01><FF1B>Student council president<FF03>You guys really do work hard!<FF02><FF04><FF1B>Student council president<FF03>Leave everything to your ol' student<FF03>council president and run along, okay?<FF02><FF01>  <FF1B>Drama club member<FF03>I heard a story about when Ms! Saeko was<FF03>in the drama club",,por_traducir,
e3_00044,664,<FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03>,"<FF02><FF04><FF1B>Drama club member<FF03>They say she fought with her best friend<FF03>over who would play the Snow Queen!<FF02><FF04><FF1B>Drama club member<FF03>I forget her last name, but I think her<FF03>first name was Tomomi!<FF02><FF04><FF1B>Drama club member<FF03>There were tears in Ms! Saeko's eyes<FF03>when she told me about that!<FF02><FF01><FF1B>Drama club member<FF03>It seems like there's a tragic legacy<FF03>behind the Snow Queen's mask!<FF02><FF04><FF1B>Drama club member<FF03>Maybe I should write a play about it once<FF03>the town's back to normal!<FF02><FF01>   <FF1B>Yukino<FF03>So our drama club's good enough that it<FF03>can win competitions?<FF02><FF01> <FF1B>Yukino<FF03>Let's beat that Night Queen for the sake<FF03>of the three tower guardians!<FF02><FF01><FF1B>Ayase<FF03>What a teeny-tiny room. I feel like I'm<FF03>in one big fridge",,por_traducir,
e3_00045,430,<FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03>,"<FF02><FF01>   <FF1B>Ayase<FF03>Student council president? More like<FF03>STUPID council president.<FF02><FF04><FF1B>Ayase<FF03>It really pisses me off that a guy like<FF03>him ended up in charge.<FF02><FF01> <FF1B>Nanjo<FF03>Where did the other club rooms go?<FF02><FF01> <FF1B>Nanjo<FF03>There doesn't seem to be anything<FF03>useful here!<FF02><FF01> <FF1B>Brown<FF03>Here one may find the sweat and tears of<FF03>maidens who devoted their youth to acting!<FF02><FF04><FF1B>Brown<FF03>Hey, what should we do.?<FF02><FF01>   <FF1B>Brown<FF03>I wonder if TV studios are like this<FF03>backstage",,por_traducir,
e3_00046,66,<FF02> <FF01> <FF1B> <FF03>, I so want to see one!<FF02><FF01><FF1B>Elly<FF03>Nothing but sheets and sheets of ice,,por_traducir,
e3_00049,183,<FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03>,<FF03>It looks even more dangerous!<FF02><FF01>  <FF1B>Male teacher<FF03>What is the matter with that child.?<FF02><FF04><FF1B>Male teacher<FF03>This is a school. He can't open a store<FF03>here without permission.<FF02><FF01><FF1B>Clerk<FF03>Welcoooome,,por_traducir,
e3_00050,280,<FF02> <FF04> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03>," I from Devil's Peak!<FF02><FF04><FF1B>Clerk<FF03>Bring very good things!<FF02><FF04><FF1B>Clerk<FF03>Mister need this! I sell at low price,<FF03>you buy.<FF02><FF01> <FF1B>Clerk<FF03>I been wait for you. Lucky mister!<FF02><FF04><FF1B>Clerk<FF03>This store close soon! Last sale,<FF03>be waste if not buy.<FF02><FF01>  <FF1B>Yukino<FF03>From Devil's Peak, huh? Then is that<FF03>kid a demon too",,por_traducir,
e3_00051,79,<FF02> <FF01> <FF1B> <FF03> <FF03>,<FF02><FF01>  <FF1B>Yukino<FF03>It's making money off humans fighting<FF03>demons! That's one ballsy kid,,por_traducir,
e3_00052,361,<FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03>,"<FF02><FF01>   <FF1B>Ayase<FF03>Hey, are these, like, real?<FF02><FF01><FF1B>Ayase<FF03>I wonder where that kid's from!<FF02><FF01><FF1B>Nanjo<FF03>Amazing. All of these could prove useful<FF03>for us!<FF02><FF01>   <FF1B>Nanjo<FF03>I wonder how many times we survived<FF03>as a result of that child!<FF02><FF04><FF1B>Nanjo<FF03>We should express our thanks, even if<FF03>its prices are a bit exorbitant!<FF02><FF01>  <FF1B>Brown<FF03>Yikes, what's with the little arms dealer<FF03>at school?<FF02><FF04><FF1B>Brown<FF03>",,por_traducir,
e3_00055,18,, such cute clothes,,por_traducir,
e3_00056,21,<FF03>," so expensive,<FF03>though",,por_traducir,
e3_00057,17,<FF02> <FF01> <FF1B> <FF03>,<FF02><FF01>  <FF1B>Meek girl<FF03>Oh,,por_traducir,
e3_00058,18,, such cute clothes,,por_traducir,
e3_00059,21,<FF03>," so expensive,<FF03>though",,por_traducir,
e3_00061,42,<FF03>, Do you think this place will<FF03>buy uniforms,,por_traducir,
e3_00062,20,<FF02> <FF01> <FF1B> <FF03>,<FF02><FF01>   <FF1B>Meek girl<FF03>U-Um,,por_traducir,
e3_00063,42,<FF03>, Do you think this place will<FF03>buy uniforms,,por_traducir,
e3_00064,94,<FF02> <FF01> <FF06> <0300> <FF18> <0300> <0044> <FF03> <FF03> <FF06> <FF02> <FF01> <FF1B> <FF03>,<FF02><FF01>  <FF06><0300><FF18><0300><0044> Yuko Himeno<FF03>Maki's friend! She works part-time to<FF03>support her family!<FF06> <FF02><FF01> <FF1B>Clerk<FF03>Wel,,por_traducir,
e3_00066,13,<FF02> <FF01> <FF1B> <FF03>,<FF02><FF01> <FF1B>Clerk<FF03>Wel,,por_traducir,
e3_00068,227,<FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03>,"<FF02><FF01> <FF1B>Yukino<FF03>All these clothes have some practical use!<FF03>They're more like armor than clothes!<FF02><FF01>  <FF1B>Yukino<FF03>Think this shopkeeper came from Devil's<FF03>Peak like the one across the hall?<FF02><FF01><FF1B>Ayase<FF03>Oh man, this is soooo cool.<FF02><FF01><FF1B>Ayase<FF03>Yikes",,por_traducir,
e3_00069,153,<FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03>," I wonder if I've gained weight!<FF02><FF01>   <FF1B>Nanjo<FF03>The higher an item's price, the sturdier<FF03>it seems!<FF02><FF01> <FF1B>Nanjo<FF03>I wonder how often this armor has saved<FF03>our lives",,por_traducir,
e3_00070,135,<FF02> <FF04> <FF1B> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF04> <FF1B> <FF03>,"<FF02><FF04><FF1B>Nanjo<FF03>It's expensive, but I'm not complaining!<FF02><FF01>  <FF1B>Brown<FF03>Hey, what's with this store selling these<FF03>crazy clothes at school?<FF02><FF04><FF1B>Brown<FF03>",,por_traducir,
e3_00071,920,<FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <FF1B> <FF03> <FF03> <FF02> <FF01> <1200> <2819> <A819> <281A> <A01A> <201B> <A01B> <C81C> <F81C> <281D> <E01D> <881E> <D01E> <381F> <B01F> <9020> <D021> <8022> <2823> <FFFF> <1900> <FFFF> <FFFF> <FFFF> <3300> <FFFF> <FFFF> <FFFF> <FFFF> <4B00> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <FFFF> <0300> <FFFF> <2E28> <D810> <F010> <E010> <F010> <E810> <F010> <0811> <1011> <D80C> <0A08> <FFFF> <FFFF>,"Eh, whatever! It's not like the school<FF03>regulations mean anything anymore!<FF02><FF01><FF1B>Brown<FF03>Even if the school goes back to normal,<FF03>I'm gonna keep wearing stuff from here!<FF02><FF01><FF1B>Elly<FF03>Could this be armor? I must say, it's<FF03>better than no protection whatsoever!<FF02><FF01> <FF1B>Elly<FF03>No wonder they stock high-quality goods!<FF03>If we died, they'd have no customers!<FF02><FF01><1200> <2819> <A819> <281A> <A01A> <201B> <A01B> <C81C> <F81C> <281D> <E01D> <881E> <D01E> <381F> <B01F> <9020> <D021> <8022> <2823>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 <FFFF><1900><FFFF><FFFF><FFFF><3300><FFFF><FFFF><FFFF><FFFF><4B00><FFFF><FFFF>`<FFFF><FFFF><FFFF><FFFF><FFFF>`<FFFF><FFFF><FFFF><FFFF><0300><FFFF><2E28> <D810> <F010> <E010> <F010> <E810> <F010> <0811> <1011> <D80C>  <0A08>` <FFFF><FFFF> ",,por_traducir,
